RollNumber,Name,Email,CellNumber,Gender,BranchCd,DOB
12131,Amit Yadav,12131@dsi.com,9898656556,Male,EEE,2-Feb-00
12132,Suresh Pal,12132@dsi.com,9797797964,Male,EE,23-Aug-01
12133,Shreya Das,12133@dsi.com,9998877821,Female,CSE,16-Oct-99
12134,Akshay Gupta,12134@dsi.com,935582164,Male,ME,17-Oct-99
12135,Pallavi Kumari,12135@dsi.com,864651234,Female,CE,1-Dec-01
12136,Jayant Kumar,12136@dsi.com,826552065,Male,BE,11-Nov-98
12137,Sunita Srivastava,12137@dsi.com,7213646231,Female,EE,2-Jul-01
12138,Priya Pal,12138@dsi.com,941253156,Female,IT,29-Mar-02
12139,Farukh Khan,12139@dsi.com,7751231231,Male,CSE,2-Feb-00
12140,Rajat Jain,12140@dsi.com,936156132,Male,EEE,1-Dec-01
